|    顾客    |    到达时间    | 选择的理发师等级 |   所需服务时间   |
|顾客0       |08:56          |               1|               31|
|顾客1       |09:35          |               3|               29|
|顾客2       |09:56          |               3|               48|
|顾客3       |10:09          |               1|               34|
|顾客4       |10:58          |               1|               60|
|顾客5       |11:02          |               3|               16|
|顾客6       |11:10          |               2|               45|
|顾客7       |11:37          |               2|               19|
|顾客8       |12:15          |               2|               33|
|顾客9       |13:09          |               2|               31|
|顾客10      |13:38          |               2|               49|
|顾客11      |14:15          |               1|               59|
|顾客12      |14:45          |               1|               29|
|顾客13      |15:00          |               3|               35|
|顾客14      |15:03          |               2|               28|
|顾客15      |15:51          |               1|               16|
|顾客16      |16:20          |               3|               15|
|顾客17      |16:49          |               3|               60|
|顾客18      |17:40          |               1|               40|
|顾客19      |18:18          |               2|               23|
|顾客20      |18:49          |               2|               51|
|顾客21      |18:56          |               2|               20|
|顾客22      |19:50          |               3|               54|
|顾客23      |19:54          |               1|               57|
|顾客24      |20:45          |               3|               17|
|顾客25      |21:04          |               3|               40|
|顾客26      |21:12          |               3|               56|
|顾客27      |21:39          |               2|               44|
